"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"CCZTPISQ","preprint","2016","Redmon, Joseph; Divvala, Santosh; Girshick, Ross; Farhadi, Ali","You Only Look Once: Unified, Real-Time Object Detection","","","","10.48550/arXiv.1506.02640","http://arxiv.org/abs/1506.02640","We present YOLO, a new approach to object detection. Prior work on object detection repurposes classifiers to perform detection. Instead, we frame object detection as a regression problem to spatially separated bounding boxes and associated class probabilities. A single neural network predicts bounding boxes and class probabilities directly from full images in one evaluation. Since the whole detection pipeline is a single network, it can be optimized end-to-end directly on detection performance. Our unified architecture is extremely fast. Our base YOLO model processes images in real-time at 45 frames per second. A smaller version of the network, Fast YOLO, processes an astounding 155 frames per second while still achieving double the mAP of other real-time detectors. Compared to state-of-the-art detection systems, YOLO makes more localization errors but is far less likely to predict false detections where nothing exists. Finally, YOLO learns very general representations of objects. It outperforms all other detection methods, including DPM and R-CNN, by a wide margin when generalizing from natural images to artwork on both the Picasso Dataset and the People-Art Dataset.","2016-05-09","2025-06-24 07:00:18","2025-06-24 07:00:18","2025-06-24 07:00:18","","","","","","","You Only Look Once","","","","","arXiv","","","","","","","arXiv.org","","arXiv:1506.02640 [cs]","","C:\Users\ttft3\Zotero\storage\GQX92RBD\Redmon 等 - 2016 - You Only Look Once Unified, Real-Time Object Detection.pdf; C:\Users\ttft3\Zotero\storage\MKSPJ6Q6\1506.html","","","Computer Science - Computer Vision and Pattern Recognition","","","","","","","","","","","","","","","","","","","arXiv:1506.02640","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SRIBRCWK","preprint","2023","Vaswani, Ashish; Shazeer, Noam; Parmar, Niki; Uszkoreit, Jakob; Jones, Llion; Gomez, Aidan N.; Kaiser, Lukasz; Polosukhin, Illia","Attention Is All You Need","","","","10.48550/arXiv.1706.03762","http://arxiv.org/abs/1706.03762","The dominant sequence transduction models are based on complex recurrent or convolutional neural networks in an encoder-decoder configuration. The best performing models also connect the encoder and decoder through an attention mechanism. We propose a new simple network architecture, the Transformer, based solely on attention mechanisms, dispensing with recurrence and convolutions entirely. Experiments on two machine translation tasks show these models to be superior in quality while being more parallelizable and requiring significantly less time to train. Our model achieves 28.4 BLEU on the WMT 2014 English-to-German translation task, improving over the existing best results, including ensembles by over 2 BLEU. On the WMT 2014 English-to-French translation task, our model establishes a new single-model state-of-the-art BLEU score of 41.8 after training for 3.5 days on eight GPUs, a small fraction of the training costs of the best models from the literature. We show that the Transformer generalizes well to other tasks by applying it successfully to English constituency parsing both with large and limited training data.","2023-08-02","2025-06-24 06:58:12","2025-06-24 06:58:12","2025-06-24 06:58:12","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:1706.03762 [cs]","Comment: 15 pages, 5 figures","C:\Users\ttft3\Zotero\storage\N3LVTQGL\Vaswani 等 - 2023 - Attention Is All You Need.pdf; C:\Users\ttft3\Zotero\storage\WUN2BJ86\1706.html","","","Computer Science - Computation and Language; Computer Science - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:1706.03762","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KRNRNWWU","newspaperArticle","2025","Sandoval, Edgar; County, Pooja SalhotraReporting from Kerr; Texas","Families Wait for Word of Missing as Texas Floods Death Toll Hits 120","The New York Times","","0362-4331","","https://www.nytimes.com/2025/07/09/us/texas-floods-missing-search.html","Officials defended their actions in the hardest-hit county, where no survivors have been found since Friday. Statewide, 173 people remain unaccounted for, the governor said.","2025-07-09","2025-07-10 01:20:26","2025-07-10 01:20:26","2025-07-10 01:20:26","","","","","","","","","","","","","","en-US","","","","","NYTimes.com","","","","C:\Users\ttft3\Zotero\storage\AHNLSK6G\texas-floods-missing-search.html","","","Abbott, Gregory W (1957- ); Camp Mystic (Hunt, Tex); Camps and Camping; Kerr County (Tex); Texas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U.S.","","","",""
"56R2A524","preprint","2025","Cairo, Hannah","A Counterexample to the Mizohata-Takeuchi Conjecture","","","","10.48550/arXiv.2502.06137","http://arxiv.org/abs/2502.06137","We derive a family of $L^p$ estimates of the X-Ray transform of positive measures in $\mathbb R^d$, which we use to construct a $\log R$-loss counterexample to the Mizohata-Takeuchi conjecture for every $C^2$ hypersurface in $\mathbb R^d$ that does not lie in a hyperplane. In particular, multilinear restriction estimates at the endpoint cannot be sharpened directly by the Mizohata-Takeuchi conjecture.","2025-03-12","2025-07-09 00:53:51","2025-07-09 00:53:51","2025-07-09 00:53:51","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2502.06137 [math]","","C:\Users\ttft3\Zotero\storage\Z8LCG4Y9\Cairo - 2025 - A Counterexample to the Mizohata-Takeuchi Conjecture.pdf; C:\Users\ttft3\Zotero\storage\IX4XCF6X\2502.html","","","Mathematics - Classical Analysis and ODEs","","","","","","","","","","","","","","","","","","","arXiv:2502.06137","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3HYH4DNQ","preprint","2025","DeepSeek-AI; Guo, Daya; Yang, Dejian; Zhang, Haowei; Song, Junxiao; Zhang, Ruoyu; Xu, Runxin; Zhu, Qihao; Ma, Shirong; Wang, Peiyi; Bi, Xiao; Zhang, Xiaokang; Yu, Xingkai; Wu, Yu; Wu, Z. F.; Gou, Zhibin; Shao, Zhihong; Li, Zhuoshu; Gao, Ziyi; Liu, Aixin; Xue, Bing; Wang, Bingxuan; Wu, Bochao; Feng, Bei; Lu, Chengda; Zhao, Chenggang; Deng, Chengqi; Zhang, Chenyu; Ruan, Chong; Dai, Damai; Chen, Deli; Ji, Dongjie; Li, Erhang; Lin, Fangyun; Dai, Fucong; Luo, Fuli; Hao, Guangbo; Chen, Guanting; Li, Guowei; Zhang, H.; Bao, Han; Xu, Hanwei; Wang, Haocheng; Ding, Honghui; Xin, Huajian; Gao, Huazuo; Qu, Hui; Li, Hui; Guo, Jianzhong; Li, Jiashi; Wang, Jiawei; Chen, Jingchang; Yuan, Jingyang; Qiu, Junjie; Li, Junlong; Cai, J. L.; Ni, Jiaqi; Liang, Jian; Chen, Jin; Dong, Kai; Hu, Kai; Gao, Kaige; Guan, Kang; Huang, Kexin; Yu, Kuai; Wang, Lean; Zhang, Lecong; Zhao, Liang; Wang, Litong; Zhang, Liyue; Xu, Lei; Xia, Leyi; Zhang, Mingchuan; Zhang, Minghua; Tang, Minghui; Li, Meng; Wang, Miaojun; Li, Mingming; Tian, Ning; Huang, Panpan; Zhang, Peng; Wang, Qiancheng; Chen, Qinyu; Du, Qiushi; Ge, Ruiqi; Zhang, Ruisong; Pan, Ruizhe; Wang, Runji; Chen, R. J.; Jin, R. L.; Chen, Ruyi; Lu, Shanghao; Zhou, Shangyan; Chen, Shanhuang; Ye, Shengfeng; Wang, Shiyu; Yu, Shuiping; Zhou, Shunfeng; Pan, Shuting; Li, S. S.; Zhou, Shuang; Wu, Shaoqing; Ye, Shengfeng; Yun, Tao; Pei, Tian; Sun, Tianyu; Wang, T.; Zeng, Wangding; Zhao, Wanjia; Liu, Wen; Liang, Wenfeng; Gao, Wenjun; Yu, Wenqin; Zhang, Wentao; Xiao, W. L.; An, Wei; Liu, Xiaodong; Wang, Xiaohan; Chen, Xiaokang; Nie, Xiaotao; Cheng, Xin; Liu, Xin; Xie, Xin; Liu, Xingchao; Yang, Xinyu; Li, Xinyuan; Su, Xuecheng; Lin, Xuheng; Li, X. Q.; Jin, Xiangyue; Shen, Xiaojin; Chen, Xiaosha; Sun, Xiaowen; Wang, Xiaoxiang; Song, Xinnan; Zhou, Xinyi; Wang, Xianzu; Shan, Xinxia; Li, Y. K.; Wang, Y. Q.; Wei, Y. X.; Zhang, Yang; Xu, Yanhong; Li, Yao; Zhao, Yao; Sun, Yaofeng; Wang, Yaohui; Yu, Yi; Zhang, Yichao; Shi, Yifan; Xiong, Yiliang; He, Ying; Piao, Yishi; Wang, Yisong; Tan, Yixuan; Ma, Yiyang; Liu, Yiyuan; Guo, Yongqiang; Ou, Yuan; Wang, Yuduan; Gong, Yue; Zou, Yuheng; He, Yujia; Xiong, Yunfan; Luo, Yuxiang; You, Yuxiang; Liu, Yuxuan; Zhou, Yuyang; Zhu, Y. X.; Xu, Yanhong; Huang, Yanping; Li, Yaohui; Zheng, Yi; Zhu, Yuchen; Ma, Yunxian; Tang, Ying; Zha, Yukun; Yan, Yuting; Ren, Z. Z.; Ren, Zehui; Sha, Zhangli; Fu, Zhe; Xu, Zhean; Xie, Zhenda; Zhang, Zhengyan; Hao, Zhewen; Ma, Zhicheng; Yan, Zhigang; Wu, Zhiyu; Gu, Zihui; Zhu, Zijia; Liu, Zijun; Li, Zilin; Xie, Ziwei; Song, Ziyang; Pan, Zizheng; Huang, Zhen; Xu, Zhipeng; Zhang, Zhongyu; Zhang, Zhen","DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning","","","","10.48550/arXiv.2501.12948","http://arxiv.org/abs/2501.12948","We introduce our first-generation reasoning models, DeepSeek-R1-Zero and DeepSeek-R1. DeepSeek-R1-Zero, a model trained via large-scale reinforcement learning (RL) without supervised fine-tuning (SFT) as a preliminary step, demonstrates remarkable reasoning capabilities. Through RL, DeepSeek-R1-Zero naturally emerges with numerous powerful and intriguing reasoning behaviors. However, it encounters challenges such as poor readability, and language mixing. To address these issues and further enhance reasoning performance, we introduce DeepSeek-R1, which incorporates multi-stage training and cold-start data before RL. DeepSeek-R1 achieves performance comparable to OpenAI-o1-1217 on reasoning tasks. To support the research community, we open-source DeepSeek-R1-Zero, DeepSeek-R1, and six dense models (1.5B, 7B, 8B, 14B, 32B, 70B) distilled from DeepSeek-R1 based on Qwen and Llama.","2025-01-22","2025-07-12 07:33:57","2025-07-12 07:33:57","2025-07-12 07:33:57","","","","","","","DeepSeek-R1","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2501.12948 [cs]","","C:\Users\ttft3\Zotero\storage\N8A64YMW\DeepSeek-AI 等 - 2025 - DeepSeek-R1 Incentivizing Reasoning Capability in LLMs via Reinforcement Learning.pdf; C:\Users\ttft3\Zotero\storage\RA5XCX6I\2501.html","","","Computer Science - Computation and Language; Computer Science - Machine Learning; Computer Science - Artificial Intelligence","","","","","","","","","","","","","","","","","","","arXiv:2501.12948","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M9QYPWJY","journalArticle","","Luhnow, David; Thomas, Matthew; Colchester, Max","China Reins In Belt and Road","","","","","","","","2025-07-15 16:18:00","2025-07-15 16:18:00","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\ttft3\Zotero\storage\8M6NT2RJ\Luhnow 等 - China Reins In Belt and Road.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UB2DGLK7","webpage","","","Roe v. Wade","Oyez","","","","https://www.oyez.org/cases/1971/70-18","A case in which the Court struck down several Texas laws that criminalized abortion, holding that laws that impose an undue burden on a woman’s right to seek an abortion violate her fundamental right to privacy under the Due Process Clause of the Fourteenth Amendment.","","2025-07-15 16:22:13","2025-07-15 16:22:13","2025-07-15 16:22:13","","","","","","","","","","","","","","en","","","","","","","","","C:\Users\ttft3\Zotero\storage\7TX98HBZ\70-18.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82PP4DHQ","webpage","","","From Indonesia to Nepal, anime pirate flag has become symbol of Asian Gen Z’s discontent | The Straits Times","","","","","https://www.straitstimes.com/asia/se-asia/from-indonesia-to-nepal-anime-pirate-flag-has-become-symbol-of-asian-gen-zs-discontent","","","2025-09-15 03:51:23","2025-09-15 03:51:23","2025-09-15 03:51:23","","","","","","","","","","","","","","","","","","","","","","","C:\Users\ttft3\Zotero\storage\2PEZ6A5T\from-indonesia-to-nepal-anime-pirate-flag-has-become-symbol-of-asian-gen-zs-discontent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WZVJNRNM","webpage","2025","Ravid, Barak","U.S. enters Israel's war against Iran","Axios","","","","https://www.axios.com/2025/06/21/us-strike-iran-nuclear-israel-trump","Trump's direct intervention marks a historic escalation in the Middle East.","2025-06-22","2025-09-12 08:32:23","2025-09-12 08:32:23","2025-09-12 08:32:23","","","","","","","","","","","","","","en","","","","","","","","","C:\Users\ttft3\Zotero\storage\QSZV84MR\us-strike-iran-nuclear-israel-trump.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QMKBGD8G","webpage","","","Trump set to grant another extension to avoid TikTok disruption","","","","","https://www.nbcnews.com/news/us-news/trump-extension-tiktok-rcna213625","","","2025-09-12 08:31:38","2025-09-12 08:31:38","2025-09-12 08:31:38","","","","","","","","","","","","","","","","","","","","","","","C:\Users\ttft3\Zotero\storage\Y7S2A55S\trump-extension-tiktok-rcna213625.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2ZGEDMYB","webpage","","","Israel strikes Iran despite Trump's nuclear deal hopes","","","","","https://www.axios.com/2025/06/13/israel-strike-iran-trump-nuclear-talks","","","2025-09-12 08:31:12","2025-09-12 08:31:12","2025-09-12 08:31:12","","","","","","","","","","","","","","","","","","","","","","","C:\Users\ttft3\Zotero\storage\EPMMBT48\israel-strike-iran-trump-nuclear-talks.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JIYY2HKT","webpage","2025","Eudaily, Lora Kolodny,Chris","Tesla loses $152 billion in market cap after Musk-Trump spat, biggest hit ever","CNBC","","","","https://www.cnbc.com/2025/06/05/tesla-shares-musk-trump.html","The drop comes as shares of the EV maker saw a 22% rally in May with Musk wrapping up his time as head of Trump's Department of Government Efficiency, or DOGE.","2025-06-05","2025-09-12 08:30:49","2025-09-12 08:30:49","2025-09-12 08:30:49","","","","","","","","","","","","","","en","","","","","","","Section: Technology","","C:\Users\ttft3\Zotero\storage\QGWH9A7Q\tesla-shares-musk-trump.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FGGDZAHW","newspaperArticle","2025","Luscombe, Richard","After crafting quiet Florida life, Shah of Iran’s alleged ‘chief torturer’ must now face trial","The Guardian","","0261-3077","","https://www.theguardian.com/world/2025/sep/11/parviz-sabeti-shah-iran-lawsuit","Parviz Sabeti crafted an anonymous new life for his family – but now he faces a $225m lawsuit for atrocities committed in prisons in Tehran and elsewhere","2025-09-11","2025-09-12 08:30:23","2025-09-12 08:30:23","2025-09-12 08:30:23","","","","","","","","","","","","","","en-GB","","","","","The Guardian","","","","C:\Users\ttft3\Zotero\storage\VR74TIGW\parviz-sabeti-shah-iran-lawsuit.html","","","Florida; Iran; Middle East and north Africa; Torture; US news; World news","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","World news","","","",""
"CUBTD9MD","webpage","2025","Jie, Vinay Dwivedi,Lim Hui","India says it carried out military strikes against Pakistan as tensions spiral after Kashmir killings","CNBC","","","","https://www.cnbc.com/2025/05/07/india-says-it-carried-out-targeted-military-strikes-against-pakistan-.html","The operation follows a militant attack in Pahalgam, Jammu and Kashmir, in which 26 people were killed last month.","2025-05-06","2025-09-12 08:29:49","2025-09-12 08:29:49","2025-09-12 08:29:49","","","","","","","","","","","","","","en","","","","","","","Section: Defense","","C:\Users\ttft3\Zotero\storage\GN5PWKC5\india-says-it-carried-out-targeted-military-strikes-against-pakistan-.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95CACFNC","webpage","","","Here's how Trump calculated tariffs. The math has baffled economists - CNA","","","","","https://www.channelnewsasia.com/world/trump-tariffs-calculation-formula-5043991","","","2025-09-12 08:25:35","2025-09-12 08:25:35","2025-09-12 08:25:35","","","","","","","","","","","","","","","","","","","","","","","C:\Users\ttft3\Zotero\storage\8MBW66AD\trump-tariffs-calculation-formula-5043991.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
